City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,2022-12-25 00:31:33,-24.7911,-50.0119,60.85,98,89,9.17,overcast clouds
1,Mar Del Plata,AR,2022-12-25 00:27:57,-38.0023,-57.5575,62.1,70,0,14.0,light rain
2,Turukhansk,RU,2022-12-25 00:31:33,65.8167,87.9833,0.43,93,100,11.01,overcast clouds
3,Mandali,IQ,2022-12-25 00:31:34,33.7499,45.5541,51.67,87,75,5.46,light rain
4,Punta Arenas,CL,2022-12-25 00:30:01,-53.15,-70.9167,53.71,54,20,27.63,few clouds
5,Busselton,AU,2022-12-25 00:31:35,-33.65,115.3333,72.21,55,19,5.97,few clouds
6,Nikolskoye,RU,2022-12-25 00:31:35,59.7035,30.7861,28.8,92,26,6.87,scattered clouds
7,Hermanus,ZA,2022-12-25 00:31:35,-34.4187,19.2345,58.8,72,72,9.24,light rain
8,Provideniya,RU,2022-12-25 00:31:36,64.3833,-173.3,12.38,83,9,13.56,clear sky
9,Roanoke Rapids,US,2022-12-25 00:31:37,36.4615,-77.6542,25.68,68,0,10.49,clear sky
10,Bredasdorp,ZA,2022-12-25 00:31:37,-34.5322,20.0403,59.94,66,44,6.42,scattered clouds
11,Podor,MR,2022-12-25 00:31:38,16.6527,-14.9587,68.4,19,0,10.51,clear sky
12,Mataura,NZ,2022-12-25 00:31:38,-46.1927,168.8643,72.07,45,55,6.71,broken clouds
13,Sanandaj,IR,2022-12-25 00:31:39,35.3144,46.9923,37.42,87,100,0.0,mist
14,Moram,IN,2022-12-25 00:31:39,17.8,76.4667,62.92,57,6,6.96,clear sky
15,Port Elizabeth,ZA,2022-12-25 00:31:40,-33.918,25.5701,64.69,83,0,12.66,light rain
16,Ushuaia,AR,2022-12-25 00:31:40,-54.8,-68.3,49.66,71,40,27.63,scattered clouds
17,Garmsar,IR,2022-12-25 00:31:41,35.2182,52.3409,39.87,87,49,7.63,scattered clouds
18,Pisco,PE,2022-12-25 00:31:41,-13.7,-76.2167,69.85,83,0,8.05,clear sky
19,Bluff,NZ,2022-12-25 00:31:42,-46.6,168.3333,63.34,70,16,8.57,few clouds
20,Shetpe,KZ,2022-12-25 00:31:43,44.1667,52.1167,30.72,48,100,7.23,overcast clouds
21,Thompson,CA,2022-12-25 00:26:43,55.7435,-97.8558,-11.04,70,0,6.91,clear sky
22,Aspindza,GE,2022-12-25 00:31:43,41.5739,43.2483,30.74,68,1,4.0,clear sky
23,Arraial Do Cabo,BR,2022-12-25 00:28:25,-22.9661,-42.0278,73.4,88,53,12.97,broken clouds
24,Hami,CN,2022-12-25 00:31:44,42.8,93.45,16.27,62,12,6.55,few clouds
25,Jamestown,US,2022-12-25 00:31:13,42.097,-79.2353,8.19,62,100,20.71,overcast clouds
26,Sao Filipe,CV,2022-12-25 00:31:45,14.8961,-24.4956,72.86,60,65,13.69,broken clouds
27,Manzhouli,CN,2022-12-25 00:31:45,49.6,117.4333,-17.55,79,7,0.92,clear sky
28,Shima,CN,2022-12-25 00:31:46,24.4478,117.8111,51.82,59,1,1.14,clear sky
29,Kathu,TH,2022-12-25 00:31:46,7.9178,98.3332,73.22,74,98,16.55,overcast clouds
30,Hithadhoo,MV,2022-12-25 00:31:47,-0.6,73.0833,81.37,73,26,21.18,scattered clouds
31,Sohag,EG,2022-12-25 00:31:47,26.557,31.6948,50.29,56,5,5.26,clear sky
32,Vanimo,PG,2022-12-25 00:31:48,-2.6741,141.3028,86.41,65,91,5.21,overcast clouds
33,Auki,SB,2022-12-25 00:31:48,-8.7676,160.7034,84.25,72,93,2.73,overcast clouds
34,Balabagan,PH,2022-12-25 00:31:49,7.5264,124.1142,81.28,83,100,2.71,overcast clouds
35,Vaini,TO,2022-12-25 00:31:50,-21.2,-175.2,87.96,70,40,8.05,light rain
36,Zambezi,ZM,2022-12-25 00:31:50,-13.5432,23.1047,64.62,98,100,4.09,light rain
37,Saint George,US,2022-12-25 00:30:31,37.1041,-113.5841,55.99,39,0,0.0,clear sky
38,Nishihara,JP,2022-12-25 00:31:51,26.1842,127.7558,58.66,66,75,25.32,broken clouds
39,Dikson,RU,2022-12-25 00:31:51,73.5069,80.5464,-19.35,92,8,5.5,clear sky
40,Hobart,AU,2022-12-25 00:31:36,-42.8794,147.3294,75.06,50,40,12.66,scattered clouds
41,San Quintin,MX,2022-12-25 00:31:52,30.4833,-115.95,61.36,73,0,7.81,clear sky
42,Cape Town,ZA,2022-12-25 00:31:07,-33.9258,18.4232,63.1,78,75,8.01,broken clouds
43,Grindavik,IS,2022-12-25 00:31:53,63.8424,-22.4338,21.15,79,75,11.5,broken clouds
44,Port Lincoln,AU,2022-12-25 00:31:53,-34.7333,135.8667,73.38,48,0,3.47,clear sky
45,Vranov,CZ,2022-12-25 00:31:54,48.8947,15.8127,44.47,91,93,6.53,overcast clouds
46,Chokurdakh,RU,2022-12-25 00:32:55,70.6333,147.9167,-26.27,97,6,2.08,clear sky
47,Sebinkarahisar,TR,2022-12-25 00:32:55,40.2883,38.4236,30.42,75,7,1.88,clear sky
